BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
29/4/2026;VILLA CRESPO; $ 22.960.557 ;;;;;;;;;;;;;;
29/4/2026;VILLA DEL PARQUE; $ 23.951.259 ;;;;;;;;;;;;;;
29/4/2026;VILLA DEL PARQUE II; $ 23.951.046 ;;;;;;;;;;;;;;
29/4/2026;VILLA LURO; $ 13.976.100 ;;;;;;;;;;;;;;
29/4/2026;VILLA URQUIZA; $ 32.356.040 ;;;;;;;;;;;;;;
29/4/2026;VILLA URQUIZA II; $ 15.870.667 ;;;;;;;;;;;;;;
29/4/2026;VILLA URQUIZA III; $ 23.028.020 ;;;;;;;;;;;;;;
Total 29/4/2026;; $ 1.337.772.387 ;;;;;;;;;;;;;;
30/4/2026;BARRACAS; $ 15.648.573 ;;;;;;;;;;;;;;
30/4/2026;BECCAR; $ 33.003.777 ;;;;;;;;;;;;;;
30/4/2026;BELGRANO; $ 18.141.065 ;;;;;;;;;;;;;;
30/4/2026;BELGRANO II; $ 18.779.290 ;;;;;;;;;;;;;;
30/4/2026;BELGRANO III; $ 12.684.422 ;;;;;;;;;;;;;;
30/4/2026;BELGRANO IV; $ 13.405.395 ;;;;;;;;;;;;;;
30/4/2026;BELGRANO V; $ 23.662.356 ;;;;;;;;;;;;;;
30/4/2026;BELGRANO VI; $ 12.499.535 ;;;;;;;;;;;;;;
30/4/2026;BELGRANO VII - Danesa; $ 58.680.178 ;;;;;;;;;;;;;;
30/4/2026;BELGRANO VIII; $ 13.678.293 ;;;;;;;;;;;;;;
30/4/2026;BERAZATEGUI; $ 54.543.080 ;;;;;;;;;;;;;;
30/4/2026;BERAZATEGUI II; $ 20.486.641 ;;;;;;;;;;;;;;
30/4/2026;Boedo; $ 5.352.334 ;;;;;;;;;;;;;;
30/4/2026;CABALLITO; $ 49.789.310 ;;;;;;;;;;;;;;
30/4/2026;CABALLITO II; $ 16.274.812 ;;;;;;;;;;;;;;
30/4/2026;CABALLITO III; $ 20.074.975 ;;;;;;;;;;;;;;
30/4/2026;CABALLITO IV; $ 21.817.535 ;;;;;;;;;;;;;;
30/4/2026;CHACARITA; $ 5.689.444 ;;;;;;;;;;;;;;
30/4/2026;DEVOTO; $ 30.293.785 ;;;;;;;;;;;;;;
30/4/2026;Devoto II; $ 20.847.445 ;;;;;;;;;;;;;;
30/4/2026;Devoto III; $ 3.291.830 ;;;;;;;;;;;;;;
30/4/2026;Escobar; $ 3.826.059 ;;;;;;;;;;;;;;
30/4/2026;FLORES; $ 31.353.353 ;;;;;;;;;;;;;;
30/4/2026;GONZALEZ CATAN; $ 28.381.550 ;;;;;;;;;;;;;;
30/4/2026;GONZALEZ CATAN II; $ 12.618.951 ;;;;;;;;;;;;;;
30/4/2026;GONZALEZ CATAN III; $ 3.897.793 ;;;;;;;;;;;;;;
30/4/2026;ISDIN G. PACIFICO; $ 736.408 ;;;;;;;;;;;;;;
30/4/2026;ISDIN PALERMO; $ 875.098 ;;;;;;;;;;;;;;
30/4/2026;LAS CANITAS; $ 24.590.316 ;;;;;;;;;;;;;;
30/4/2026;LOREAL ALTO PALERMO; $ 2.807.212 ;;;;;;;;;;;;;;
30/4/2026;LOREAL G. PACIFICO; $ 1.435.538 ;;;;;;;;;;;;;;
30/4/2026;MERCEDES; $ 8.406.960 ;;;;;;;;;;;;;;
30/4/2026;MICROCENTRO; $ 18.851.903 ;;;;;;;;;;;;;;
30/4/2026;MICROCENTRO II; $ 24.870.770 ;;;;;;;;;;;;;;
30/4/2026;MORON; $ 26.213.711 ;;;;;;;;;;;;;;
30/4/2026;NUNEZ; $ 26.483.587 ;;;;;;;;;;;;;;
30/4/2026;PADUA; $ 8.252.398 ;;;;;;;;;;;;;;
30/4/2026;PALERMO; $ 12.489.782 ;;;;;;;;;;;;;;
30/4/2026;PALERMO II; $ 10.647.261 ;;;;;;;;;;;;;;
30/4/2026;PALERMO III; $ 8.340.015 ;;;;;;;;;;;;;;
30/4/2026;PALERMO IV; $ 3.543.248 ;;;;;;;;;;;;;;
30/4/2026;PARQUE CENTENARIO; $ 4.840.993 ;;;;;;;;;;;;;;
30/4/2026;PARQUE PATRICIOS; $ 10.497.402 ;;;;;;;;;;;;;;
30/4/2026;PILAR; $ 9.929.909 ;;;;;;;;;;;;;;
30/4/2026;POMPEYA; $ 10.408.403 ;;;;;;;;;;;;;;
30/4/2026;QUILMES; $ 26.780.731 ;;;;;;;;;;;;;;
30/4/2026;RAMOS MEJIA; $ 21.220.525 ;;;;;;;;;;;;;;
30/4/2026;RAMOS MEJIA II; $ 15.711.234 ;;;;;;;;;;;;;;
30/4/2026;RAMOS MEJIA III; $ 2.014.607 ;;;;;;;;;;;;;;
30/4/2026;RECOLETA; $ 10.196.207 ;;;;;;;;;;;;;;
30/4/2026;RECOLETA II; $ 12.611.088 ;;;;;;;;;;;;;;
30/4/2026;RECOLETA III; $ 26.849.526 ;;;;;;;;;;;;;;
30/4/2026;RECOLETA IV; $ 24.640.578 ;;;;;;;;;;;;;;
30/4/2026;RECOLETA V; $ 20.536.580 ;;;;;;;;;;;;;;
30/4/2026;RETIRO; $ 11.992.113 ;;;;;;;;;;;;;;
30/4/2026;RETIRO II; $ 12.646.562 ;;;;;;;;;;;;;;
30/4/2026;SALADILLO; $ 4.877.910 ;;;;;;;;;;;;;;
30/4/2026;SAN ISIDRO; $ 72.131.920 ;;;;;;;;;;;;;;
30/4/2026;SAN ISIDRO II; $ 18.887.620 ;;;;;;;;;;;;;;
30/4/2026;SAN MIGUEL; $ 10.082.575 ;;;;;;;;;;;;;;
30/4/2026;TRIBUNALES; $ 22.225.989 ;;;;;;;;;;;;;;
30/4/2026;VILLA BALLESTER; $ 60.726.353 ;;;;;;;;;;;;;;
30/4/2026;VILLA BALLESTER II; $ 28.166.278 ;;;;;;;;;;;;;;
30/4/2026;VILLA CRESPO; $ 23.184.042 ;;;;;;;;;;;;;;
30/4/2026;VILLA DEL PARQUE; $ 23.907.886 ;;;;;;;;;;;;;;
30/4/2026;VILLA DEL PARQUE II; $ 24.631.868 ;;;;;;;;;;;;;;
30/4/2026;VILLA LURO; $ 13.531.459 ;;;;;;;;;;;;;;
30/4/2026;VILLA URQUIZA; $ 32.722.612 ;;;;;;;;;;;;;;
30/4/2026;VILLA URQUIZA II; $ 16.380.821 ;;;;;;;;;;;;;;
30/4/2026;VILLA URQUIZA III; $ 25.927.421 ;;;;;;;;;;;;;;
Total 30/4/2026;; $ 1.325.527.203 ;;;;;;;;;;;;;;
Total general;; $ 33.226.464.616 ;;;;;;;;;;;;;;
