BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
5/4/2026;GONZALEZ CATAN; $ 4.229.835 ;;;;;;;;;;;;;;
5/4/2026;GONZALEZ CATAN II; $ -   ;;;;;;;;;;;;;;
5/4/2026;GONZALEZ CATAN III; $ -   ;;;;;;;;;;;;;;
5/4/2026;ISDIN G. PACIFICO; $ 890.907 ;;;;;;;;;;;;;;
5/4/2026;ISDIN PALERMO; $ 745.071 ;;;;;;;;;;;;;;
5/4/2026;LAS CANITAS; $ 13.407.767 ;;;;;;;;;;;;;;
5/4/2026;LOREAL ALTO PALERMO; $ 2.941.818 ;;;;;;;;;;;;;;
5/4/2026;LOREAL G. PACIFICO; $ 1.083.258 ;;;;;;;;;;;;;;
5/4/2026;MERCEDES; $ -   ;;;;;;;;;;;;;;
5/4/2026;MICROCENTRO; $ -   ;;;;;;;;;;;;;;
5/4/2026;MICROCENTRO II; $ -   ;;;;;;;;;;;;;;
5/4/2026;MORON; $ 3.786.689 ;;;;;;;;;;;;;;
5/4/2026;NUNEZ; $ 12.834.684 ;;;;;;;;;;;;;;
5/4/2026;PADUA; $ -   ;;;;;;;;;;;;;;
5/4/2026;PALERMO; $ 5.539.118 ;;;;;;;;;;;;;;
5/4/2026;PALERMO II; $ -   ;;;;;;;;;;;;;;
5/4/2026;PALERMO III; $ -   ;;;;;;;;;;;;;;
5/4/2026;PALERMO IV; $ -   ;;;;;;;;;;;;;;
5/4/2026;PARQUE CENTENARIO; $ -   ;;;;;;;;;;;;;;
5/4/2026;PARQUE PATRICIOS; $ -   ;;;;;;;;;;;;;;
5/4/2026;PILAR; $ 7.072.161 ;;;;;;;;;;;;;;
5/4/2026;POMPEYA; $ -   ;;;;;;;;;;;;;;
5/4/2026;QUILMES; $ -   ;;;;;;;;;;;;;;
5/4/2026;RAMOS MEJIA; $ 5.451.302 ;;;;;;;;;;;;;;
5/4/2026;RAMOS MEJIA II; $ -   ;;;;;;;;;;;;;;
5/4/2026;RAMOS MEJIA III; $ -   ;;;;;;;;;;;;;;
5/4/2026;RECOLETA; $ -   ;;;;;;;;;;;;;;
5/4/2026;RECOLETA II; $ -   ;;;;;;;;;;;;;;
5/4/2026;RECOLETA III; $ 10.732.100 ;;;;;;;;;;;;;;
5/4/2026;RECOLETA IV; $ 7.218.291 ;;;;;;;;;;;;;;
